unit,label,aggregation,selection_mode,nominal_budget,threshold,units,failures,failure_prevalence,reviewed_units,review_fraction,caught_failures,failure_recall,review_ppv,failure_recall_lift_over_random,false_referrals,safe_unit_false_referral_rate,remaining_failures,residual_failure_fraction,residual_failure_rate_all_units,remaining_failure_rate_unreviewed,auroc,auprc
clip,label_fp_persistent_min5,top20_mean,exact_rank,0.1,,518,515,0.9942084942084942,52,0.10038610038610038,52,0.10097087378640776,1.0,1.0058252427184466,0,0.0,463,0.8990291262135922,0.8938223938223938,0.9935622317596566,0.9702265372168285,0.9998205858242106
clip,label_fp_persistent_min5,top20_mean,exact_rank,0.2,,518,515,0.9942084942084942,104,0.20077220077220076,104,0.20194174757281552,1.0,1.0058252427184466,0,0.0,411,0.7980582524271844,0.7934362934362934,0.9927536231884058,0.9702265372168285,0.9998205858242106
clip,label_negative_reliability_failure,max,exact_rank,0.01,,518,518,1.0,6,0.011583011583011582,6,0.011583011583011582,1.0,1.0,0,0.0,512,0.9884169884169884,0.9884169884169884,1.0,,
clip,label_negative_reliability_failure,max,frozen_threshold_any_frame_referral,0.01,0.13528396,518,518,1.0,292,0.5637065637065637,292,0.5637065637065637,1.0,1.0,0,0.0,226,0.4362934362934363,0.4362934362934363,1.0,,
clip,label_negative_reliability_failure,max,exact_rank,0.05,,518,518,1.0,26,0.05019305019305019,26,0.05019305019305019,1.0,1.0,0,0.0,492,0.9498069498069498,0.9498069498069498,1.0,,
clip,label_negative_reliability_failure,max,frozen_threshold_any_frame_referral,0.05,0.09579211,518,518,1.0,434,0.8378378378378378,434,0.8378378378378378,1.0,1.0,0,0.0,84,0.16216216216216217,0.16216216216216217,1.0,,
clip,label_negative_reliability_failure,max,exact_rank,0.1,,518,518,1.0,52,0.10038610038610038,52,0.10038610038610038,1.0,1.0,0,0.0,466,0.8996138996138996,0.8996138996138996,1.0,,
clip,label_negative_reliability_failure,max,frozen_threshold_any_frame_referral,0.1,0.07180122,518,518,1.0,472,0.9111969111969112,472,0.9111969111969112,1.0,1.0,0,0.0,46,0.0888030888030888,0.0888030888030888,1.0,,
clip,label_negative_reliability_failure,max,exact_rank,0.2,,518,518,1.0,104,0.20077220077220076,104,0.20077220077220076,1.0,1.0,0,0.0,414,0.7992277992277992,0.7992277992277992,1.0,,
clip,label_negative_reliability_failure,max,frozen_threshold_any_frame_referral,0.2,0.04186127,518,518,1.0,496,0.9575289575289575,496,0.9575289575289575,1.0,1.0,0,0.0,22,0.04247104247104247,0.04247104247104247,1.0,,
clip,label_negative_reliability_failure,mean,exact_rank,0.01,,518,518,1.0,6,0.011583011583011582,6,0.011583011583011582,1.0,1.0,0,0.0,512,0.9884169884169884,0.9884169884169884,1.0,,
clip,label_negative_reliability_failure,mean,exact_rank,0.05,,518,518,1.0,26,0.05019305019305019,26,0.05019305019305019,1.0,1.0,0,0.0,492,0.9498069498069498,0.9498069498069498,1.0,,
clip,label_negative_reliability_failure,mean,exact_rank,0.1,,518,518,1.0,52,0.10038610038610038,52,0.10038610038610038,1.0,1.0,0,0.0,466,0.8996138996138996,0.8996138996138996,1.0,,
clip,label_negative_reliability_failure,mean,exact_rank,0.2,,518,518,1.0,104,0.20077220077220076,104,0.20077220077220076,1.0,1.0,0,0.0,414,0.7992277992277992,0.7992277992277992,1.0,,
